id	cluster_name	infomap	central_concept	concepticon_id	concepticon_gloss	family_frequency	language_frequency	word_frequency
0	infomap_104_STRING	104	STRING	294	TUMPLINE	7	9	9
1	infomap_13_RED	13	RED	2998	DAMP	21	119	139
2	infomap_3_THAT	3	THAT	455	MAHOGANY TREE	3	62	63
3	infomap_23_HOOK	23	HOOK	278	AWL	43	315	350
4	infomap_1_GIVE	1	GIVE	549	COPULATE	9	72	83
5	infomap_33_FROST	33	FROST	2942	HOARFROST	18	102	122
6	infomap_2_SEED	2	SEED	904	BERRY	22	109	117
7	infomap_110_DAY AFTER TOMORROW	110	DAY AFTER TOMORROW	1180	DAY BEFORE YESTERDAY	63	804	843
8	infomap_107_EAR	107	EAR	595	GROUNDNUTS	3	67	69
9	infomap_1_GIVE	1	GIVE	511	BAOZI	1	18	18
10	infomap_81_ONE TIME	81	ONE TIME	2739	WALK (CLASSIFIER)	1	18	20
11	infomap_40_CIRCLE	40	CIRCLE	1374	RING	65	531	579
12	infomap_8_MIND	8	MIND	811	SOUL	66	543	713
13	infomap_1_GIVE	1	GIVE	1098	WEIGH	54	398	450
14	infomap_108_BRIDGE	108	BRIDGE	610	PORT	42	251	307
15	infomap_23_HOOK	23	HOOK	2128	CLAW OR NAIL	16	59	64
16	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	2158	EARTH (WET SUBSTANCE)	10	107	112
17	infomap_1_GIVE	1	GIVE	3182	MARRIAGE OR WEDDING	36	244	420
18	infomap_11_CLOTH	11	CLOTH	603	COAT	45	291	359
19	infomap_1_GIVE	1	GIVE	2219	LEAN (MEAT)	4	102	115
20	infomap_1_GIVE	1	GIVE	705	GO UP (ASCEND)	87	1133	1326
21	infomap_11_CLOTH	11	CLOTH	853	ALTAR	31	244	281
22	infomap_1_GIVE	1	GIVE	2905	KNIT	20	107	117
23	infomap_5_TREE	5	TREE	420	FOREST	99	1221	1493
24	infomap_31_HOUSE	31	HOUSE	2372	SAGO PALM	8	134	146
25	infomap_66_HATE	66	HATE	2715	DESPISE	2	27	30
26	infomap_1_GIVE	1	GIVE	117	IMITATE	59	496	709
27	infomap_109_MEDICINE	109	MEDICINE	974	TOBACCO	97	1124	1234
28	infomap_1_GIVE	1	GIVE	176	BLOW (WITH MOUTH)	34	664	755
